id,ext_path,geo
130471,"河北省 邯郸市 邯郸经济技术开发区","EMPTY"
130473,"河北省 邯郸市 邯郸冀南新区","EMPTY"
130481,"河北省 邯郸市 武安市","114.194581 36.696115"
1305,"河北省 邢台市","114.508851 37.0682"
130502,"河北省 邢台市 桥东区","114.507131 37.064125"
130503,"河北省 邢台市 桥西区","114.473687 37.068009"
130521,"河北省 邢台市 邢台县","114.561132 37.05073"
130522,"河北省 邢台市 临城县","114.506873 37.444009"
130523,"河北省 邢台市 内丘县","114.511523 37.287663"
130524,"河北省 邢台市 柏乡县","114.693382 37.483596"
130525,"河北省 邢台市 隆尧县","114.776348 37.350925"
130526,"河北省 邢台市 任县","114.684469 37.129952"
130527,"河北省 邢台市 南和县","114.691377 37.003812"
130528,"河北省 邢台市 宁晋县","114.921027 37.618956"
130529,"河北省 邢台市 巨鹿县","115.038782 37.21768"
130530,"河北省 邢台市 新河县","115.247537 37.526216"
130531,"河北省 邢台市 广宗县","115.142797 37.075548"
130532,"河北省 邢台市 平乡县","115.029218 37.069404"
130533,"河北省 邢台市 威县","115.272749 36.983272"
130534,"河北省 邢台市 清河县","115.668999 37.059991"
130535,"河北省 邢台市 临西县","115.498684 36.8642"
130571,"河北省 邢台市 河北邢台经济开发区","EMPTY"
130581,"河北省 邢台市 南宫市","115.398102 37.359668"
130582,"河北省 邢台市 沙河市","114.504902 36.861903"
1306,"河北省 保定市","115.482331 38.867657"
130602,"河北省 保定市 竞秀区","115.470659 38.88662"
130606,"河北省 保定市 莲池区","115.500934 38.865005"
130607,"河北省 保定市 满城区","115.32442 38.95138"
130608,"河北省 保定市 清苑区","115.492221 38.771012"
130609,"河北省 保定市 徐水区","115.64941 39.020395"
130623,"河北省 保定市 涞水县","115.711985 39.393148"
130624,"河北省 保定市 阜平县","114.198801 38.847276"
130626,"河北省 保定市 定兴县","115.796895 39.266195"
130627,"河北省 保定市 唐县","114.981241 38.748542"
130628,"河北省 保定市 高阳县","115.778878 38.690092"
130629,"河北省 保定市 容城县","115.866247 39.05282"
130630,"河北省 保定市 涞源县","114.692567 39.35755"
130631,"河北省 保定市 望都县","115.154009 38.707448"
130632,"河北省 保定市 安新县","115.931979 38.929912"
130633,"河北省 保定市 易县","115.501146 39.35297"
130634,"河北省 保定市 曲阳县","114.704055 38.619992"
130635,"河北省 保定市 蠡县","115.583631 38.496429"
